Pay Plan Code         Pay Plan Translation                                                                               Start Date of Code           End Date of Code
TS                    TS-FEDERAL HOUSING FINANCE BOARD STEP SYSTEM                                                       1990-12-01                   2100-12-31
VC                    VC-CANTEEN SERVICE                                                                                 1972-06-01                   2100-12-31
VE                    VE-VETERANS CANTEEN SERVICE EXECUTIVES ONLY                                                        2000-05-01                   2100-12-31
VG                    VG-CLERICAL AND ADMINISTRATIVE SUPPORT                                                             1992-01-01                   2100-12-31
VH                    VH-PROFESSIONAL, ADMINISTRATIVE, AND MANAGERIAL                                                    1992-01-01                   2100-12-31
VM                    VM-MEDICAL AND DENTAL                                                                              1972-06-01                   2100-12-31
VN                    VN-NURSING                                                                                         1972-06-01                   2100-12-31
VP                    VP-CLINICAL PODIATRISTS AND OPTOMETRISTS SCHEDULE                                                  1977-02-01                   2100-12-31
WA                    WA-NAVIGATIONAL LOCK AND DAM OPERATIONS AND MAINTENANCE IN U.S. ARMY CORPS OF                      1977-07-01                   2100-12-31
WB                    WB-WAGE POSITIONS UNDER THE FEDERAL WAGE SYSTEM NOT OTHERWISE DESIGNATED                           1972-06-01                   2100-12-31
WD                    WD-PRODUCTION FACILITATING NON-SUPERVISORY - FEDERAL WAGE SYSTEM                                   1972-06-01                   2100-12-31
WE                    WE-CURRENCY MANUFACTURING                                                                          1972-06-01                   2100-12-31
WG                    WG-NONSUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM                                              1972-06-01                   2100-12-31
WJ                    WJ-HOPPER DREDGE SCHEDULE--FEDERAL WAGE SYSTEM                                                     1996-07-01                   2100-12-31
WK                    WK-HOPPER DREDGE SCHEDULE, NONSUPERVISORY                                                          1972-06-01                   2100-12-31
WL                    WL-LEADER PAY SCHEDULE - FEDERAL WAGE SYSTEM                                                       1972-06-01                   2100-12-31
WM                    WM-MARITIME PAY SCHEDULES--5 U.S.C. 5348                                                           1972-06-01                   2100-12-31
WN                    WN-PRODUCTION FACILITATING SUPERVISORY FEDERAL WAGE SYSTEM                                         1972-06-01                   2100-12-31
WO                    WO-NAVIGATIONAL LOCK AND DAM OPERATION AND MAINTENANCE POSITIONS IN THE U.S. A                     1977-07-01                   2100-12-31
WQ                    WQ-AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTICAL INSTRUMENT OVERHAUL AND REPAIR                      1976-09-01                   2100-12-31
WR                    WR-AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTICAL INSTRUMENT OVERHAUL AND REPAIR                      1976-09-01                   2100-12-31
WS                    WS-SUPERVISORY PAY SCHEDULES - FEDERAL WAGE SYSTEM                                                 1972-06-01                   2100-12-31
WT                    WT-APPRENTICES AND SHOP TRAINEES - FEDERAL WAGE SYSTEM                                             1975-08-01                   2100-12-31
WU                    WU-AIRCRAFT, ELECTRONIC EQUIPMENT, AND OPTICAL INSTRUMENT OVERHAUL AND REPAIR                      1976-07-01                   2100-12-31
WY                    WY-NAVIGATIONAL LOCK & DAM OPERATION & MAINTENANCE POSITIONS IN U.S. ARMY CORP                     1977-07-01                   2100-12-31
XA                    XA-SPECIAL OVERLAP AREA RATE SCHEDULE - NONSUPERVISORY - FEDERAL WAGE SYSTEM                       1977-04-01                   2100-12-31
XB                    XB-SPECIAL OVERLAP AREA RATE SCHEDULE - LEADER - FEDERAL WAGE SYSTEM                               1977-04-01                   2100-12-31
XC                    XC-SPECIAL OVERLAP AREA RATE SCHEDULE - SUPERVISORY - FEDERAL WAGE SYSTEM                          1977-04-01                   2100-12-31
XD                    XD-NONSUPERVISORY PRODUCTION FACILITATING SPECIAL SCHEDULE PRINTING EMPLOYEE                       1982-01-01                   2100-12-31
XE                    XE-SUPERVISORS OF NEGOTIATED RATE EMPLOYEES--FEDERAL WAGE SYSTEM                                   1994-12-01                   2100-12-31
XF                    XF-FLOATING PLANT SCHEDULE (OTHER THAN HOPPER DREDGE) SCHEDULE--NONSUPERVISORY                     1992-09-01                   2100-12-31
XG                    XG-FLOATING PLANT (OTHER THAN HOPPER DREDGE) SCHEDULE--LEADER--FEDERAL WAGE SY                     1992-09-01                   2100-12-31
XH                    XH-FLOATING PLANT (OTHER THAN HOPPER DREDGE) SCHEDULE--FEDERAL WAGE SYSTEM                         1996-07-01                   2100-12-31
XI                    XI-NON-SUPERVISORY SCHEDULE - PREVAILING RATE SYSTEM                                               2004-07-01                   2100-12-31
XJ                    XJ-LEADER SCHEDULE - PREVAILING RATE SYSTEM                                                        2004-07-01                   2100-12-31
XK                    XK-SUPERVISORY SCHEDULE - PREVAILING RATE SYSTEM                                                   2004-07-01                   2100-12-31
XL                    XL-LEADER SPECIAL SCHEDULE PRINTING EMPLOYEE                                                       1982-01-01                   2100-12-31
XN                    XN-SUPERVISORY PRODUCTION FACILITATING SPECIAL SCHEDULE PRINTING EMPLOYEE                          1982-01-01                   2100-12-31
XP                    XP-NONSUPERVISORY SPECIAL SCHEDULE PRINTING EMPLOYEE                                               1982-01-01                   2100-12-31
XR                    XR-NON-SUPERVISORY U.S. ARMY CORPS OF ENGINEERS PREVAILING RATE SYSTEM POSITIO                     2015-07-01                   2100-12-31
XS                    XS-SUPERVISORY SPECIAL SCHEDULE PRINTING EMPLOYEE                                                  1982-01-01                   2100-12-31
XT                    XT-LEADER U.S. ARMY CORPS OF ENGINEERS PREVAILING RATE SYSTEM POSITIONS AT THE                     2015-07-01                   2100-12-31
XU                    XU-SUPERVISORY U.S. ARMY CORPS OF ENGINEERS PREVAILING RATE SYSTEM POSITIONS A                     2015-07-01                   2100-12-31
XW                    XW-NON-SUPRV DOD NON-APPR FUND POSITIONS IN THE AUTOMOTIVEMECHANIC 5823 SERIES                     2011-03-01                   2100-12-31
XY                    XY-LEADER DOD NON-APPR FUND POSITIONS IN THE AUTOMOTIVE   MECHANIC 5823 SERIES                     2011-03-01                   2100-12-31
XZ                    XZ-SUPERVISORY DOD NON-APPR FUND POSITIONS IN AUTOMOTIVE  MECHANIC 5823 SERIES                     2011-03-01                   2100-12-31
YA                    YA-STANDARD CAREER GROUP - PROFESSIONAL/ANALYTICAL PAY SCHEDULE                                    2004-02-01                   2100-12-31
YB                    YB-STANDARD CAREER GROUP - TECHNICIAN/SUPPORT PAY SCHEDULE                                         2004-02-01                   2100-12-31
YC                    YC-STANDARD CAREER GROUP - SUPERVISOR/MANAGER PAY SCHEDULE                                         2004-02-01                   2100-12-31
YD                    YD-SCIENCE AND ENGINEERING CAREER GROUP - PROFESSIONAL PAY SCHEDULE                                2004-02-01                   2100-12-31
YE                    YE-SCIENCE AND ENGINEERING CAREER GOUP - TECHNICIAN/SUPPORT PAY SCHEDULE                           2004-02-01                   2100-12-31
YF                    YF-SCIENCE AND ENGINEERING CAREER GROUP - SUPERVISOR/MANAGER PAY SCHEDULE                          2004-02-01                   2100-12-31
YG                    YG-MEDICAL CAREER GROUP - PHYSICIAN/DENTIST PAY SCHEDULE                                           2004-02-01                   2100-12-31
YH                    YH-MEDICAL CAREER GROUP - PROFESSIONAL PAY SCHEDULE                                                2004-02-01                   2100-12-31
YI                    YI-MEDICAL CAREER GROUP - TECHNICIAN/SUPPORT PAY SCHEDULE                                          2004-02-01                   2100-12-31
YJ                    YJ-MEDICAL CAREER GROUP - SUPERVISOR/MANAGER PAY SCHEDULE                                          2004-02-01                   2100-12-31
YK                    YK-INVESTIGATIVE AND PROTECTIVE CAREER GROUP - INVESTIGATIVE PAY SCHEDULE                          2004-02-01                   2100-12-31
YL                    YL-INVESTIGATIVE AND PROTECTIVE CAREER GROUP - FIRE PROTECTION PAY SCHEDULE                        2004-02-01                   2100-12-31
YM                    YM-INVESTIGATIVE AND PROTECTIVE CAREER GROUP - POLICE/SECURITY GUARD PAY SCHED                     2004-02-01                   2100-12-31
YN                    YN-INVESTIGATIVE AND PROTECTIVE CAREER GROUP - SUPERVISOR/MANAGER PAY SCHEDULE                     2004-02-01                   2100-12-31
YO                    YO-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YP                    YP-STANDARD CAREER GROUP - STUDENT EDUCATIONAL EMPLOYMENT PROGRAM PAY SCHEDULE                     2004-02-01                   2100-12-31
YQ                    YQ-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YR                    YR-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YS                    YS-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YT                    YT-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YU                    YU-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YV                    YV-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YW                    YW-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YX                    YX-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YY                    YY-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
YZ                    YZ-CODE IS FOR USE BY THE DEPARTMENTS OF THE AIR FORCE, ARMY, DEFENSE, AND NAV                     2004-02-01                   2100-12-31
ZA                    ZA-ADMINISTRATIVE                                                                                  1990-01-01                   2100-12-31
ZP                    ZP-SCIENTIFIC AND ENGINEERING PROFESSIONAL                                                         1990-01-01                   2100-12-31
ZS                    ZS-ADMINISTRATIVE SUPPORT                                                                          1990-01-01                   2100-12-31
ZT                    ZT-SCIENTIFIC AND ENGINEERING TECHNICIAN                                                           1990-01-01                   2100-12-31
ZZ                    ZZ-NONAPPLICABLE                                                                                   1972-06-01                   2100-12-31
